-----------------------------------
数据大于1M,已自动保存: /Serial_Assistant_Cfg/Auto_Save/2024-06-13_10-29-48.txt
-----------------------------------
[10:29:48.447] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=80.135, Ver_act_Pos=881.490, Ver_Cur=665, Hor_Cur=135} 
[10:29:48.546] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=81.771, Ver_act_Pos=889.667, Ver_Cur=661, Hor_Cur=136} 
[10:29:48.647] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=80.135, Ver_act_Pos=897.844, Ver_Cur=627, Hor_Cur=138} 
[10:29:48.747] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=85.042, Ver_act_Pos=906.086, Ver_Cur=627, Hor_Cur=139} 
[10:29:48.847] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=89.948, Ver_act_Pos=914.852, Ver_Cur=645, Hor_Cur=142} 
[10:29:48.947] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=89.948, Ver_act_Pos=923.880, Ver_Cur=879, Hor_Cur=138} 
[10:29:49.026] [LOG]current:50, voltage:29360, soc:97, status:discharge, hor_cnt:0, ver_cnt:1663
[10:29:49.047] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=83.406, Ver_act_Pos=932.645, Ver_Cur=903, Hor_Cur=141} 
[10:29:49.147] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=80.135, Ver_act_Pos=940.692, Ver_Cur=1096, Hor_Cur=142} 
[10:29:49.247] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=76.865, Ver_act_Pos=948.411, Ver_Cur=1093, Hor_Cur=141} 
[10:29:49.347] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=62.146, Ver_act_Pos=955.868, Ver_Cur=973, Hor_Cur=142} 
[10:29:49.446] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=71.958, Ver_act_Pos=963.326, Ver_Cur=1198, Hor_Cur=135} 
[10:29:49.547] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=70.323, Ver_act_Pos=970.391, Ver_Cur=1134, Hor_Cur=139} 
[10:29:49.647] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=70.323, Ver_act_Pos=977.194, Ver_Cur=667, Hor_Cur=135} 
[10:29:49.747] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=60.510, Ver_act_Pos=983.474, Ver_Cur=699, Hor_Cur=136} 
[10:29:49.847] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=52.333, Ver_act_Pos=988.969, Ver_Cur=1045, Hor_Cur=137} 
[10:29:49.947] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=44.156, Ver_act_Pos=993.745, Ver_Cur=1146, Hor_Cur=143} 
[10:29:50.042] [LOG]current:30, voltage:29360, soc:97, status:discharge, hor_cnt:0, ver_cnt:1663
[10:29:50.047] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=37.615, Ver_act_Pos=997.735, Ver_Cur=974, Hor_Cur=142} 
[10:29:50.147] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=26.167, Ver_act_Pos=1000.940, Ver_Cur=607, Hor_Cur=146} 
[10:29:50.247] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=11.448, Ver_act_Pos=1003.361, Ver_Cur=648, Hor_Cur=136} 
[10:29:50.347] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-3.271, Ver_act_Pos=1003.230, Ver_Cur=713, Hor_Cur=143} 
[10:29:50.447] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=0.000, Ver_act_Pos=1003.295, Ver_Cur=455, Hor_Cur=140} 
[10:29:50.547] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=0.000, Ver_act_Pos=1003.295, Ver_Cur=155, Hor_Cur=132} 
[10:29:50.647] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=0.000, Ver_act_Pos=1003.295, Ver_Cur=379, Hor_Cur=146} 
[10:29:50.747] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=0.000, Ver_act_Pos=1003.295, Ver_Cur=417, Hor_Cur=142} 
[10:29:50.847] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=0.000, Ver_act_Pos=1003.295, Ver_Cur=425, Hor_Cur=141} 
[10:29:50.947] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-1.635, Ver_act_Pos=1003.295, Ver_Cur=405, Hor_Cur=142} 
[10:29:51.047] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-1.635, Ver_act_Pos=1003.230, Ver_Cur=798, Hor_Cur=138} 
[10:29:51.059] [LOG]current:30, voltage:29360, soc:97, status:discharge, hor_cnt:0, ver_cnt:1663
[10:29:51.147] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-9.812, Ver_act_Pos=1002.510, Ver_Cur=1016, Hor_Cur=134} 
[10:29:51.247] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-16.354, Ver_act_Pos=1001.268, Ver_Cur=1031, Hor_Cur=145} 
[10:29:51.347] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-22.896, Ver_act_Pos=999.370, Ver_Cur=1012, Hor_Cur=140} 
[10:29:51.447] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-27.802, Ver_act_Pos=996.754, Ver_Cur=1594, Hor_Cur=143} 
[10:29:51.547] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-35.979, Ver_act_Pos=993.352, Ver_Cur=1323, Hor_Cur=141} 
[10:29:51.647] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-47.427, Ver_act_Pos=989.165, Ver_Cur=1675, Hor_Cur=142} 
[10:29:51.747] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-52.333, Ver_act_Pos=984.325, Ver_Cur=960, Hor_Cur=137} 
[10:29:51.847] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-60.510, Ver_act_Pos=978.764, Ver_Cur=1100, Hor_Cur=142} 
[10:29:51.947] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-62.146, Ver_act_Pos=972.615, Ver_Cur=1768, Hor_Cur=142} 
[10:29:52.047] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-67.052, Ver_act_Pos=966.139, Ver_Cur=1117, Hor_Cur=141} 
[10:29:52.074] [LOG]current:50, voltage:29380, soc:97, status:discharge, hor_cnt:0, ver_cnt:1663
[10:29:52.147] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-71.958, Ver_act_Pos=959.205, Ver_Cur=1564, Hor_Cur=145} 
[10:29:52.247] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-75.229, Ver_act_Pos=951.812, Ver_Cur=1619, Hor_Cur=139} 
[10:29:52.347] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-76.865, Ver_act_Pos=944.159, Ver_Cur=1716, Hor_Cur=138} 
[10:29:52.447] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-80.135, Ver_act_Pos=936.178, Ver_Cur=1818, Hor_Cur=139} 
[10:29:52.547] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-86.677, Ver_act_Pos=927.805, Ver_Cur=2077, Hor_Cur=143} 
[10:29:52.647] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-91.583, Ver_act_Pos=918.908, Ver_Cur=2082, Hor_Cur=140} 
[10:29:52.747] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-88.312, Ver_act_Pos=909.880, Ver_Cur=2162, Hor_Cur=142} 
[10:29:52.847] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-85.042, Ver_act_Pos=901.376, Ver_Cur=2046, Hor_Cur=139} 
[10:29:52.947] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-81.771, Ver_act_Pos=893.199, Ver_Cur=2102, Hor_Cur=140} 
[10:29:53.048] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-83.406, Ver_act_Pos=884.957, Ver_Cur=1965, Hor_Cur=148} 
[10:29:53.090] [LOG]current:50, voltage:29360, soc:97, status:discharge, hor_cnt:0, ver_cnt:1663
[10:29:53.148] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-80.135, Ver_act_Pos=876.910, Ver_Cur=1741, Hor_Cur=147} 
[10:29:53.247] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-81.771, Ver_act_Pos=868.864, Ver_Cur=1593, Hor_Cur=142} 
[10:29:53.347] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-86.677, Ver_act_Pos=860.360, Ver_Cur=1692, Hor_Cur=138} 
[10:29:53.448] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-88.312, Ver_act_Pos=851.529, Ver_Cur=1424, Hor_Cur=142} 
[10:29:53.548] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-88.312, Ver_act_Pos=842.632, Ver_Cur=1434, Hor_Cur=142} 
[10:29:53.647] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-83.406, Ver_act_Pos=833.932, Ver_Cur=1571, Hor_Cur=141} 
[10:29:53.748] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-83.406, Ver_act_Pos=825.755, Ver_Cur=1449, Hor_Cur=144} 
[10:29:53.847] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-81.771, Ver_act_Pos=817.643, Ver_Cur=1630, Hor_Cur=140} 
