-----------------------------------
数据大于1M,已自动保存: /Serial_Assistant_Cfg/Auto_Save/2024-06-13_11-49-17.txt
-----------------------------------
[11:49:17.748] {Hor_act_Vel=0.000, Hor_act_Pos=46.879, Ver_act_Vel=93.219, Ver_act_Pos=789.579, Ver_Cur=705, Hor_Cur=356} 
[11:49:17.848] {Hor_act_Vel=0.000, Hor_act_Pos=46.879, Ver_act_Vel=85.042, Ver_act_Pos=798.476, Ver_Cur=824, Hor_Cur=353} 
[11:49:17.948] {Hor_act_Vel=0.000, Hor_act_Pos=46.879, Ver_act_Vel=83.406, Ver_act_Pos=806.849, Ver_Cur=807, Hor_Cur=353} 
[11:49:18.048] {Hor_act_Vel=0.000, Hor_act_Pos=46.879, Ver_act_Vel=80.135, Ver_act_Pos=815.092, Ver_Cur=807, Hor_Cur=348} 
[11:49:18.147] {Hor_act_Vel=0.000, Hor_act_Pos=46.879, Ver_act_Vel=78.500, Ver_act_Pos=823.007, Ver_Cur=728, Hor_Cur=354} 
[11:49:18.248] {Hor_act_Vel=0.000, Hor_act_Pos=46.879, Ver_act_Vel=80.135, Ver_act_Pos=830.988, Ver_Cur=979, Hor_Cur=349} 
[11:49:18.348] {Hor_act_Vel=0.000, Hor_act_Pos=46.879, Ver_act_Vel=86.677, Ver_act_Pos=839.361, Ver_Cur=1058, Hor_Cur=354} 
[11:49:18.448] {Hor_act_Vel=0.000, Hor_act_Pos=46.879, Ver_act_Vel=89.948, Ver_act_Pos=848.193, Ver_Cur=1091, Hor_Cur=354} 
[11:49:18.548] {Hor_act_Vel=0.000, Hor_act_Pos=46.879, Ver_act_Vel=86.677, Ver_act_Pos=856.893, Ver_Cur=1068, Hor_Cur=352} 
[11:49:18.595] [LOG]current:60, voltage:29370, soc:97, status:discharge, hor_cnt:0, ver_cnt:1
[11:49:18.648] {Hor_act_Vel=0.000, Hor_act_Pos=46.879, Ver_act_Vel=85.042, Ver_act_Pos=865.463, Ver_Cur=1137, Hor_Cur=349} 
[11:49:18.748] {Hor_act_Vel=0.000, Hor_act_Pos=46.879, Ver_act_Vel=78.500, Ver_act_Pos=873.509, Ver_Cur=1160, Hor_Cur=349} 
[11:49:18.848] {Hor_act_Vel=0.000, Hor_act_Pos=46.879, Ver_act_Vel=78.500, Ver_act_Pos=881.293, Ver_Cur=1287, Hor_Cur=354} 
[11:49:18.948] {Hor_act_Vel=0.000, Hor_act_Pos=46.879, Ver_act_Vel=80.135, Ver_act_Pos=889.405, Ver_Cur=990, Hor_Cur=351} 
[11:49:19.047] {Hor_act_Vel=0.000, Hor_act_Pos=46.879, Ver_act_Vel=81.771, Ver_act_Pos=897.517, Ver_Cur=860, Hor_Cur=351} 
[11:49:19.148] {Hor_act_Vel=0.000, Hor_act_Pos=46.879, Ver_act_Vel=80.135, Ver_act_Pos=905.628, Ver_Cur=668, Hor_Cur=351} 
[11:49:19.248] {Hor_act_Vel=0.000, Hor_act_Pos=46.879, Ver_act_Vel=86.677, Ver_act_Pos=914.198, Ver_Cur=699, Hor_Cur=351} 
[11:49:19.348] {Hor_act_Vel=0.000, Hor_act_Pos=46.879, Ver_act_Vel=86.677, Ver_act_Pos=922.964, Ver_Cur=662, Hor_Cur=354} 
[11:49:19.448] {Hor_act_Vel=0.000, Hor_act_Pos=46.879, Ver_act_Vel=86.677, Ver_act_Pos=931.664, Ver_Cur=755, Hor_Cur=351} 
[11:49:19.547] {Hor_act_Vel=0.000, Hor_act_Pos=46.879, Ver_act_Vel=80.135, Ver_act_Pos=939.710, Ver_Cur=773, Hor_Cur=349} 
[11:49:19.611] [LOG]current:60, voltage:29370, soc:97, status:discharge, hor_cnt:0, ver_cnt:1
[11:49:19.648] {Hor_act_Vel=0.000, Hor_act_Pos=46.879, Ver_act_Vel=75.229, Ver_act_Pos=947.364, Ver_Cur=1023, Hor_Cur=352} 
[11:49:19.747] {Hor_act_Vel=0.000, Hor_act_Pos=46.879, Ver_act_Vel=63.781, Ver_act_Pos=954.691, Ver_Cur=1035, Hor_Cur=356} 
[11:49:19.848] {Hor_act_Vel=0.000, Hor_act_Pos=46.879, Ver_act_Vel=67.052, Ver_act_Pos=961.690, Ver_Cur=996, Hor_Cur=354} 
[11:49:19.947] {Hor_act_Vel=0.000, Hor_act_Pos=46.879, Ver_act_Vel=63.781, Ver_act_Pos=968.232, Ver_Cur=1183, Hor_Cur=354} 
[11:49:20.048] {Hor_act_Vel=0.000, Hor_act_Pos=46.879, Ver_act_Vel=58.875, Ver_act_Pos=974.447, Ver_Cur=1630, Hor_Cur=354} 
[11:49:20.148] {Hor_act_Vel=0.000, Hor_act_Pos=46.879, Ver_act_Vel=55.604, Ver_act_Pos=980.073, Ver_Cur=1177, Hor_Cur=356} 
[11:49:20.248] {Hor_act_Vel=0.000, Hor_act_Pos=46.879, Ver_act_Vel=47.427, Ver_act_Pos=985.110, Ver_Cur=1167, Hor_Cur=352} 
[11:49:20.347] {Hor_act_Vel=0.000, Hor_act_Pos=46.879, Ver_act_Vel=40.885, Ver_act_Pos=989.362, Ver_Cur=1132, Hor_Cur=352} 
[11:49:20.447] {Hor_act_Vel=0.000, Hor_act_Pos=46.879, Ver_act_Vel=32.708, Ver_act_Pos=993.025, Ver_Cur=817, Hor_Cur=351} 
[11:49:20.548] {Hor_act_Vel=0.000, Hor_act_Pos=46.879, Ver_act_Vel=24.531, Ver_act_Pos=995.773, Ver_Cur=1172, Hor_Cur=357} 
[11:49:20.627] [LOG]current:20, voltage:29370, soc:97, status:discharge, hor_cnt:0, ver_cnt:1
[11:49:20.648] {Hor_act_Vel=0.000, Hor_act_Pos=46.879, Ver_act_Vel=26.167, Ver_act_Pos=997.212, Ver_Cur=544, Hor_Cur=351} 
[11:49:20.747] {Hor_act_Vel=0.000, Hor_act_Pos=46.879, Ver_act_Vel=9.812, Ver_act_Pos=998.847, Ver_Cur=938, Hor_Cur=353} 
[11:49:20.847] {Hor_act_Vel=0.000, Hor_act_Pos=46.879, Ver_act_Vel=1.635, Ver_act_Pos=998.912, Ver_Cur=317, Hor_Cur=352} 
[11:49:20.948] {Hor_act_Vel=0.000, Hor_act_Pos=46.879, Ver_act_Vel=0.000, Ver_act_Pos=998.912, Ver_Cur=751, Hor_Cur=354} 
[11:49:21.048] {Hor_act_Vel=0.000, Hor_act_Pos=46.879, Ver_act_Vel=0.000, Ver_act_Pos=998.912, Ver_Cur=493, Hor_Cur=352} 
[11:49:21.148] {Hor_act_Vel=0.000, Hor_act_Pos=46.879, Ver_act_Vel=0.000, Ver_act_Pos=998.912, Ver_Cur=268, Hor_Cur=352} 
[11:49:21.247] {Hor_act_Vel=0.000, Hor_act_Pos=46.879, Ver_act_Vel=0.000, Ver_act_Pos=998.912, Ver_Cur=122, Hor_Cur=352} 
[11:49:21.348] {Hor_act_Vel=0.000, Hor_act_Pos=46.879, Ver_act_Vel=0.000, Ver_act_Pos=998.912, Ver_Cur=180, Hor_Cur=353} 
[11:49:21.448] {Hor_act_Vel=0.000, Hor_act_Pos=46.879, Ver_act_Vel=0.000, Ver_act_Pos=998.912, Ver_Cur=357, Hor_Cur=355} 
[11:49:21.548] {Hor_act_Vel=0.000, Hor_act_Pos=46.879, Ver_act_Vel=0.000, Ver_act_Pos=998.912, Ver_Cur=550, Hor_Cur=355} 
[11:49:21.642] [LOG]current:10, voltage:29370, soc:97, status:discharge, hor_cnt:0, ver_cnt:1
