-----------------------------------
数据大于1M,已自动保存: /Serial_Assistant_Cfg/Auto_Save/2024-06-13_10-55-59.txt
-----------------------------------
[10:55:59.491] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=14.719, Ver_act_Pos=0.981, Ver_Cur=419, Hor_Cur=137} 
[10:55:59.591] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=24.531, Ver_act_Pos=2.944, Ver_Cur=831, Hor_Cur=135} 
[10:55:59.691] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=34.344, Ver_act_Pos=5.822, Ver_Cur=736, Hor_Cur=141} 
[10:55:59.791] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=39.250, Ver_act_Pos=9.485, Ver_Cur=107, Hor_Cur=143} 
[10:55:59.892] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=45.792, Ver_act_Pos=13.868, Ver_Cur=20, Hor_Cur=139} 
[10:55:59.906] [LOG]current:90, voltage:29360, soc:97, status:discharge, hor_cnt:0, ver_cnt:1727
[10:55:59.991] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=55.604, Ver_act_Pos=19.167, Ver_Cur=204, Hor_Cur=142} 
[10:56:00.091] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=63.781, Ver_act_Pos=25.382, Ver_Cur=318, Hor_Cur=144} 
[10:56:00.191] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=73.594, Ver_act_Pos=32.447, Ver_Cur=349, Hor_Cur=140} 
[10:56:00.291] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=83.406, Ver_act_Pos=40.362, Ver_Cur=122, Hor_Cur=142} 
[10:56:00.391] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=94.854, Ver_act_Pos=49.324, Ver_Cur=40, Hor_Cur=133} 
