-----------------------------------
数据大于1M,已自动保存: /Serial_Assistant_Cfg/Auto_Save/2024-06-13_11-09-04.txt
-----------------------------------
[11:09:08.164] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-88.312, Ver_act_Pos=658.484, Ver_Cur=2324, Hor_Cur=130} 
[11:09:08.263] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-93.219, Ver_act_Pos=649.391, Ver_Cur=2349, Hor_Cur=141} 
[11:09:08.363] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-96.490, Ver_act_Pos=639.906, Ver_Cur=2369, Hor_Cur=142} 
[11:09:08.395] [LOG]current:30, voltage:29350, soc:97, status:discharge, hor_cnt:0, ver_cnt:1758
[11:09:08.464] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-99.760, Ver_act_Pos=629.897, Ver_Cur=2300, Hor_Cur=140} 
[11:09:08.564] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-96.490, Ver_act_Pos=620.085, Ver_Cur=2355, Hor_Cur=140} 
[11:09:08.664] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-93.219, Ver_act_Pos=610.795, Ver_Cur=2039, Hor_Cur=143} 
[11:09:08.764] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-89.948, Ver_act_Pos=601.833, Ver_Cur=1718, Hor_Cur=148} 
[11:09:08.864] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-91.583, Ver_act_Pos=592.740, Ver_Cur=1633, Hor_Cur=143} 
[11:09:08.964] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-91.583, Ver_act_Pos=583.713, Ver_Cur=1561, Hor_Cur=148} 
[11:09:09.064] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-93.219, Ver_act_Pos=574.489, Ver_Cur=1765, Hor_Cur=142} 
[11:09:09.164] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-89.948, Ver_act_Pos=564.938, Ver_Cur=1706, Hor_Cur=139} 
[11:09:09.264] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-98.125, Ver_act_Pos=555.191, Ver_Cur=1706, Hor_Cur=145} 
[11:09:09.364] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-96.490, Ver_act_Pos=545.248, Ver_Cur=1866, Hor_Cur=144} 
[11:09:09.411] [LOG]current:90, voltage:29340, soc:97, status:discharge, hor_cnt:0, ver_cnt:1758
[11:09:09.464] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-93.219, Ver_act_Pos=535.828, Ver_Cur=1891, Hor_Cur=141} 
[11:09:09.564] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-91.583, Ver_act_Pos=526.670, Ver_Cur=1948, Hor_Cur=148} 
[11:09:09.664] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-91.583, Ver_act_Pos=517.642, Ver_Cur=2004, Hor_Cur=146} 
[11:09:09.764] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-93.219, Ver_act_Pos=508.484, Ver_Cur=2297, Hor_Cur=142} 
[11:09:09.864] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-96.490, Ver_act_Pos=498.998, Ver_Cur=2415, Hor_Cur=139} 
[11:09:09.964] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-101.396, Ver_act_Pos=488.990, Ver_Cur=2312, Hor_Cur=143} 
[11:09:10.064] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-104.667, Ver_act_Pos=478.850, Ver_Cur=2437, Hor_Cur=146} 
[11:09:10.164] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-101.396, Ver_act_Pos=468.318, Ver_Cur=2372, Hor_Cur=141} 
[11:09:10.264] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-96.490, Ver_act_Pos=458.375, Ver_Cur=2470, Hor_Cur=140} 
[11:09:10.365] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-94.854, Ver_act_Pos=448.824, Ver_Cur=2459, Hor_Cur=139} 
[11:09:10.427] [LOG]current:50, voltage:29340, soc:97, status:discharge, hor_cnt:0, ver_cnt:1758
[11:09:10.464] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-94.854, Ver_act_Pos=439.338, Ver_Cur=2015, Hor_Cur=142} 
[11:09:10.564] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-98.125, Ver_act_Pos=429.853, Ver_Cur=1816, Hor_Cur=143} 
