-----------------------------------
数据大于1M,已自动保存: /Serial_Assistant_Cfg/Auto_Save/2024-06-13_10-42-53.txt
-----------------------------------
[10:42:54.019] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=106.302, Ver_act_Pos=397.014, Ver_Cur=456, Hor_Cur=139} 
[10:42:54.119] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=104.667, Ver_act_Pos=407.415, Ver_Cur=345, Hor_Cur=145} 
[10:42:54.218] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=99.760, Ver_act_Pos=417.620, Ver_Cur=693, Hor_Cur=138} 
[10:42:54.319] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=96.490, Ver_act_Pos=427.498, Ver_Cur=727, Hor_Cur=144} 
[10:42:54.419] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=94.854, Ver_act_Pos=436.983, Ver_Cur=1033, Hor_Cur=142} 
[10:42:54.465] [LOG]current:20, voltage:29370, soc:97, status:discharge, hor_cnt:0, ver_cnt:1695
[10:42:54.519] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=93.219, Ver_act_Pos=446.534, Ver_Cur=919, Hor_Cur=137} 
[10:42:54.618] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=94.854, Ver_act_Pos=456.020, Ver_Cur=1090, Hor_Cur=140} 
[10:42:54.718] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=93.219, Ver_act_Pos=465.374, Ver_Cur=739, Hor_Cur=140} 
[10:42:54.818] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=103.031, Ver_act_Pos=475.187, Ver_Cur=622, Hor_Cur=141} 
[10:42:54.919] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=93.219, Ver_act_Pos=485.457, Ver_Cur=515, Hor_Cur=141} 
[10:42:55.019] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=103.031, Ver_act_Pos=495.728, Ver_Cur=452, Hor_Cur=136} 
[10:42:55.118] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=93.219, Ver_act_Pos=505.409, Ver_Cur=398, Hor_Cur=141} 
[10:42:55.219] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=91.583, Ver_act_Pos=514.568, Ver_Cur=334, Hor_Cur=132} 
[10:42:55.318] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=93.219, Ver_act_Pos=523.660, Ver_Cur=354, Hor_Cur=138} 
[10:42:55.419] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=89.948, Ver_act_Pos=532.688, Ver_Cur=434, Hor_Cur=142} 
[10:42:55.481] [LOG]current:20, voltage:29360, soc:97, status:discharge, hor_cnt:0, ver_cnt:1695
[10:42:55.519] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=91.583, Ver_act_Pos=541.715, Ver_Cur=488, Hor_Cur=141} 
