-----------------------------------
数据大于1M,已自动保存: /Serial_Assistant_Cfg/Auto_Save/2024-06-13_13-21-21.txt
-----------------------------------
[13:21:25.229] {Hor_act_Vel=0.000, Hor_act_Pos=0.159, Ver_act_Vel=-1.635, Ver_act_Pos=107.938, Ver_Cur=1423, Hor_Cur=0} 
[13:21:25.330] {Hor_act_Vel=0.000, Hor_act_Pos=0.159, Ver_act_Vel=0.000, Ver_act_Pos=107.938, Ver_Cur=1735, Hor_Cur=0} 
[13:21:25.429] {Hor_act_Vel=0.000, Hor_act_Pos=0.159, Ver_act_Vel=0.000, Ver_act_Pos=107.938, Ver_Cur=1390, Hor_Cur=0} 
[13:21:25.530] {Hor_act_Vel=0.000, Hor_act_Pos=0.159, Ver_act_Vel=0.000, Ver_act_Pos=107.938, Ver_Cur=1595, Hor_Cur=0} 
[13:21:25.629] {Hor_act_Vel=0.000, Hor_act_Pos=0.159, Ver_act_Vel=0.000, Ver_act_Pos=107.938, Ver_Cur=1238, Hor_Cur=0} 
[13:21:25.729] {Hor_act_Vel=0.000, Hor_act_Pos=0.159, Ver_act_Vel=0.000, Ver_act_Pos=107.938, Ver_Cur=1324, Hor_Cur=0} 
[13:21:25.829] {Hor_act_Vel=0.000, Hor_act_Pos=0.159, Ver_act_Vel=1.635, Ver_act_Pos=108.003, Ver_Cur=1270, Hor_Cur=0} 
[13:21:25.864] [LOG]current:150, voltage:29330, soc:99, status:discharge, hor_cnt:0, ver_cnt:0
[13:21:25.930] {Hor_act_Vel=0.000, Hor_act_Pos=0.159, Ver_act_Vel=0.000, Ver_act_Pos=108.526, Ver_Cur=1353, Hor_Cur=0} 
[13:21:26.030] {Hor_act_Vel=0.000, Hor_act_Pos=0.159, Ver_act_Vel=0.000, Ver_act_Pos=108.526, Ver_Cur=1392, Hor_Cur=0} 
[13:21:26.130] {Hor_act_Vel=0.000, Hor_act_Pos=0.159, Ver_act_Vel=0.000, Ver_act_Pos=108.526, Ver_Cur=1376, Hor_Cur=0} 
[13:21:26.230] {Hor_act_Vel=0.000, Hor_act_Pos=0.159, Ver_act_Vel=0.000, Ver_act_Pos=108.526, Ver_Cur=1607, Hor_Cur=0} 
[13:21:26.330] {Hor_act_Vel=0.000, Hor_act_Pos=0.159, Ver_act_Vel=0.000, Ver_act_Pos=108.526, Ver_Cur=1607, Hor_Cur=0} 
[13:21:26.430] {Hor_act_Vel=0.000, Hor_act_Pos=0.159, Ver_act_Vel=0.000, Ver_act_Pos=108.526, Ver_Cur=1335, Hor_Cur=0} 
[13:21:26.529] {Hor_act_Vel=0.000, Hor_act_Pos=0.159, Ver_act_Vel=0.000, Ver_act_Pos=108.526, Ver_Cur=1718, Hor_Cur=0} 
[13:21:26.629] {Hor_act_Vel=0.000, Hor_act_Pos=0.159, Ver_act_Vel=0.000, Ver_act_Pos=108.526, Ver_Cur=1340, Hor_Cur=0} 
[13:21:26.730] {Hor_act_Vel=0.000, Hor_act_Pos=0.159, Ver_act_Vel=0.000, Ver_act_Pos=108.526, Ver_Cur=1892, Hor_Cur=0} 
[13:21:26.830] {Hor_act_Vel=0.000, Hor_act_Pos=0.159, Ver_act_Vel=8.177, Ver_act_Pos=108.657, Ver_Cur=1151, Hor_Cur=0} 
[13:21:26.880] [LOG]current:160, voltage:29330, soc:99, status:discharge, hor_cnt:0, ver_cnt:0
[13:21:26.930] {Hor_act_Vel=0.000, Hor_act_Pos=0.159, Ver_act_Vel=13.083, Ver_act_Pos=110.554, Ver_Cur=1609, Hor_Cur=0} 
[13:21:27.029] {Hor_act_Vel=0.000, Hor_act_Pos=0.159, Ver_act_Vel=29.438, Ver_act_Pos=112.909, Ver_Cur=1199, Hor_Cur=0} 
[13:21:27.129] {Hor_act_Vel=0.000, Hor_act_Pos=0.159, Ver_act_Vel=14.719, Ver_act_Pos=115.853, Ver_Cur=1339, Hor_Cur=0} 
